estado,municipio,coduf,codmun,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,mediamovelcaso,mediamovelobito,crescimentoobito,crescimentocasos
RN,Montanhas,24,240770.0,2020-06-28,38,0,4,0,1.1428571428571428,0.42857142857142855,5.0,1.5797835966168101
RN,Montanhas,24,240770.0,2020-06-29,49,11,2,-2,2.2857142857142856,0.14285714285714285,5.0,1.6901960800285136
RN,Montanhas,24,240770.0,2020-06-30,51,2,2,0,2.142857142857143,0.0,5.0,1.7075701760979363
RN,Montanhas,24,240770.0,2020-07-01,54,3,2,0,2.4285714285714284,-0.14285714285714285,-5.0,1.7323937598229686
RN,Montanhas,24,240770.0,2020-07-02,55,1,2,0,2.5714285714285716,-0.14285714285714285,-5.0,1.7403626894942439
RN,Montanhas,24,240770.0,2020-07-03,57,2,3,1,2.857142857142857,0.0,-5.0,1.7558748556724915
RN,Montanhas,24,240770.0,2020-07-04,60,3,3,0,3.142857142857143,-0.14285714285714285,-5.0,1.7781512503836436
RN,Montanhas,24,240770.0,2020-07-05,64,4,3,0,3.7142857142857144,-0.14285714285714285,-5.0,1.806179973983887
RN,Montanhas,24,240770.0,2020-07-06,67,3,4,1,2.5714285714285716,0.2857142857142857,5.0,1.8260748027008264
RN,Montanhas,24,240770.0,2020-07-07,75,8,4,0,3.4285714285714284,0.2857142857142857,1.0,1.8750612633917
RN,Montanhas,24,240770.0,2020-07-08,75,0,4,0,3.0,0.2857142857142857,0.0,1.8750612633917
RN,Montanhas,24,240770.0,2020-07-09,77,2,4,0,3.142857142857143,0.2857142857142857,0.0,1.8864907251724818
RN,Montanhas,24,240770.0,2020-07-10,78,1,4,0,3.0,0.14285714285714285,-0.5,1.8920946026904804
RN,Montanhas,24,240770.0,2020-07-11,79,1,4,0,2.7142857142857144,0.14285714285714285,-0.6666666666666666,1.8976270912904414
RN,Montanhas,24,240770.0,2020-07-12,82,3,4,0,2.5714285714285716,0.14285714285714285,-0.6666666666666666,1.9138138523837167
RN,Montanhas,24,240770.0,2020-07-13,83,1,4,0,2.2857142857142856,0.0,-1.0,1.919078092376074
RN,Montanhas,24,240770.0,2020-07-14,84,1,4,0,1.2857142857142858,0.0,-1.0,1.9242792860618816
RN,Montanhas,24,240770.0,2020-07-15,86,2,4,0,1.5714285714285714,0.0,-1.0,1.9344984512435677
RN,Montanhas,24,240770.0,2020-07-16,86,0,4,0,1.2857142857142858,0.0,-1.0,1.9344984512435677
RN,Montanhas,24,240770.0,2020-07-17,88,2,4,0,1.4285714285714286,0.0,-1.0,1.9444826721501687
RN,Montanhas,24,240770.0,2020-07-18,90,2,4,0,1.5714285714285714,0.0,-1.0,1.9542425094393248
RN,Montanhas,24,240770.0,2020-07-19,90,0,4,0,1.1428571428571428,0.0,-1.0,1.9542425094393248
RN,Montanhas,24,240770.0,2020-07-20,90,0,4,0,1.0,0.0,-1.0,1.9542425094393248
RN,Montanhas,24,240770.0,2020-07-21,90,0,4,0,0.8571428571428571,0.0,-1.0,1.9542425094393248
RN,Montanhas,24,240770.0,2020-07-22,90,0,4,0,0.5714285714285714,0.0,-1.0,1.9542425094393248
RN,Natal,24,240810.0,2020-03-27,0,0,0,0,,,,0.0
RN,Natal,24,240810.0,2020-03-28,22,22,0,0,,,,1.3424226808222062
RN,Natal,24,240810.0,2020-03-29,34,12,0,0,,,,1.5314789170422551
RN,Natal,24,240810.0,2020-03-30,36,2,0,0,,,,1.5563025007672873
